Joseph Daugherty,Kidnapping,2021-01-04,Ohio
Mary Coleman,Kidnapping,2020-12-05,South Dakota
April Murphy,Assault,2020-06-24,Oregon
Frank Johnson,Embezzlement,2021-12-23,Nebraska
Jamie Sanchez,Drug Possession,2018-10-11,Michigan
Melissa Tran,Kidnapping,2020-01-29,Massachusetts
Patrick Carpenter,Grand Theft Auto,2022-02-17,South Carolina
Eric Gibson,Drug Possession,2018-10-16,Alabama
Christina Hansen,Drug Possession,2022-03-28,West Virginia
Vanessa Johnson,Robbery,2022-01-08,Nevada
Olivia Thompson,Grand Theft Auto,2021-06-06,Massachusetts
Mr. Joe Michael,Fraud,2023-06-07,Oklahoma
William Williams,Embezzlement,2022-08-12,New Hampshire
Miranda Williams PhD,Forgery,2019-10-29,Connecticut
Joshua Yu,Forgery,2022-02-18,Ohio
Scott Salinas,Robbery,2022-07-06,Massachusetts
Hannah Russell,Arson,2020-02-03,Michigan
Cynthia Green,Grand Theft Auto,2022-11-06,Minnesota
Eric Scott,Homicide,2022-01-16,Wisconsin
Bobby Harrell,Identity Theft,2022-11-28,Arkansas
William Anderson,Fraud,2019-02-10,Arizona
Mark Barnes,Grand Theft Auto,2021-03-08,Maryland
Pamela Brown,Homicide,2019-04-14,Louisiana
Connie Conrad,Grand Theft Auto,2019-11-23,Vermont
Tracy Small,Homicide,2018-11-08,Delaware
Nicole Small,Vandalism,2020-09-03,California
Justin Booth,Grand Theft Auto,2019-02-08,New Jersey
Brent Larson,Vandalism,2021-11-02,New Jersey
Bobby Murray,Vandalism,2022-03-13,South Carolina
Larry Vasquez,Homicide,2022-05-11,South Carolina
Leslie Sullivan,Vandalism,2020-06-11,South Dakota
Roger Lynch,Burglary,2019-07-04,Arkansas
Michael Marshall,Fraud,2021-05-04,Utah
Erin Harris,Forgery,2021-12-18,Iowa
Gregory Butler,Kidnapping,2023-05-01,Tennessee
Dr. Andrew Boyd,Arson,2020-12-25,Alabama
Shawn Hart,Identity Theft,2022-11-26,Missouri
Kara Estes,Vandalism,2022-11-02,Delaware
Jack Olsen,Drug Possession,2021-06-19,Washington
Sally Smith,Vandalism,2020-12-27,Ohio
Laurie Bailey,Identity Theft,2019-09-24,Vermont
John Lewis,Kidnapping,2019-01-08,New York
Kerry Gonzales,Robbery,2021-02-22,Oklahoma
Patricia Villanueva,Robbery,2019-06-21,New Hampshire
Brandon Simpson,Embezzlement,2019-04-05,Montana
William Anderson,Grand Theft Auto,2023-02-27,Vermont
Daniel Williams,Homicide,2020-12-12,Kentucky
Mr. David Sherman,Identity Theft,2020-05-23,Wyoming
Brian Johnson,Identity Theft,2020-04-16,Rhode Island
Stephen Park,Robbery,2022-01-30,Montana
Melissa Torres,Robbery,2021-03-01,South Carolina
Jonathan Walls,Robbery,2019-04-25,North Carolina
Michael Williams,Assault,2020-06-18,Oklahoma
Michael Khan,Vandalism,2022-07-18,Vermont
Linda Murphy,Robbery,2019-10-25,Minnesota
Evelyn Barrett,Robbery,2022-01-01,Georgia
Nathan Freeman,Arson,2019-10-03,Vermont
Thomas Martinez,Homicide,2022-04-24,North Dakota
Cody Carter,Arson,2018-09-21,Texas
Savannah Ortiz,Forgery,2022-06-24,Texas
Stephanie Yang,Grand Theft Auto,2019-04-09,Tennessee
Melanie Robinson,Identity Theft,2019-02-21,Pennsylvania
Laura Hall,Vandalism,2018-11-19,Washington
Adam Ryan II,Homicide,2020-08-04,Colorado
Brian Wright,Embezzlement,2020-10-23,Hawaii
Craig Thompson,Homicide,2018-11-16,Ohio
Jessica Bell,Homicide,2020-08-17,Washington
Michael Morales,Kidnapping,2021-09-04,Georgia
Holly Jordan,Kidnapping,2020-05-08,Maryland
Troy Cardenas,Fraud,2022-11-21,Pennsylvania
Jonathan Grant,Robbery,2019-01-13,Vermont
Justin Gutierrez,Homicide,2021-08-01,Illinois
Sharon Hoffman,Robbery,2023-06-15,Idaho
Jessica Hernandez,Burglary,2023-05-10,Maine
Elizabeth Cole,Forgery,2021-08-03,New York
Brianna Martin,Robbery,2021-07-01,California
Natalie Patterson,Vandalism,2021-02-20,Minnesota
Traci Burke,Fraud,2022-12-04,Iowa
Ana Mills,Arson,2021-04-17,Alaska
Andrew Pineda,Fraud,2018-09-13,Pennsylvania
Steven Hickman,Robbery,2020-09-10,Louisiana
Chelsea Perkins DDS,Identity Theft,2020-09-13,Hawaii
Sara Wood,Homicide,2020-03-01,Tennessee
James Lopez,Burglary,2022-03-10,Maine
Alexander Chang,Assault,2021-09-13,Montana
David Burgess,Drug Possession,2019-10-15,Pennsylvania
Charles Lawrence,Robbery,2021-11-24,North Carolina
Frederick Miller,Burglary,2020-05-12,Idaho
Gabrielle Meyer,Arson,2020-08-29,Kansas
James Norman,Forgery,2023-05-09,Arizona
Diana Turner,Vandalism,2022-07-27,New Mexico
Robert Gibson,Drug Possession,2018-08-20,California
Gary Caldwell,Vandalism,2021-01-08,Florida
Megan Lopez,Identity Theft,2022-08-26,Mississippi
Rachel Horton,Grand Theft Auto,2022-03-28,Oklahoma
Heidi Goodman,Kidnapping,2019-02-04,Delaware
Crystal Kemp,Embezzlement,2019-11-09,South Dakota
Charles Patterson,Embezzlement,2020-07-12,Georgia
Malik Rogers DDS,Fraud,2021-03-09,Rhode Island
Craig Jordan,Fraud,2023-07-22,Vermont
Leslie Gonzalez,Robbery,2019-12-07,Colorado
Matthew Mcintosh,Arson,2022-01-25,Arkansas
Kelly Watson,Drug Possession,2020-05-13,Alabama
Savannah Stevenson,Drug Possession,2021-12-27,Kansas
Robert Murray,Homicide,2022-04-28,New Jersey
Michael Nash,Kidnapping,2020-09-23,New York
Ashley Castillo,Embezzlement,2021-07-06,Arkansas
Jared Welch,Fraud,2019-02-05,Virginia
Jessica Perkins,Robbery,2022-07-30,Pennsylvania
Kim Flores,Fraud,2020-03-06,Pennsylvania
Samuel Holloway,Embezzlement,2020-07-09,Alabama
Valerie Crawford,Drug Possession,2019-09-15,Illinois
Jeremy Harrington,Forgery,2021-05-11,Minnesota
Brett Kennedy,Drug Possession,2020-10-06,New Mexico
Stephanie Moore,Robbery,2020-07-05,Utah
Lindsay Garza,Burglary,2022-09-23,Montana
Mark Foster,Fraud,2021-05-28,New Jersey
Jade Marshall,Identity Theft,2022-12-26,Texas
Christopher Aguirre,Fraud,2022-06-23,Montana
Patricia Adams DVM,Vandalism,2021-07-17,Colorado
Kevin Bond,Grand Theft Auto,2020-09-27,Vermont
Richard Riley,Arson,2023-06-01,California
Amber Hernandez,Homicide,2021-10-17,Colorado
Robert Hawkins,Grand Theft Auto,2019-08-17,Kansas
Cheryl Gutierrez,Forgery,2021-04-13,Nebraska
Jacob Cantrell,Vandalism,2018-10-31,Oklahoma
Wesley Clay,Vandalism,2019-11-07,Nevada
Mark Brown,Vandalism,2021-10-22,California
Dominic Smith,Burglary,2020-06-15,Georgia
Jeffrey Mccarty,Arson,2021-03-18,Maryland
Patricia Webster,Homicide,2022-12-04,Virginia
Audrey Stevens DDS,Homicide,2023-04-29,North Carolina
Trevor Jones,Arson,2019-02-21,Washington
Allison Mclean,Forgery,2019-01-23,New York
Peter Walls,Identity Theft,2019-07-04,Hawaii
Audrey Yu,Arson,2019-02-14,California
Jonathan Cortez,Fraud,2022-10-02,Idaho
Tyler Randall,Arson,2018-11-26,South Carolina
Nathan Young,Robbery,2019-11-24,Michigan
Angela Kent,Grand Theft Auto,2021-12-06,New Jersey
Alexandra Lee,Homicide,2019-09-26,Alabama
Joseph Manning,Identity Theft,2022-12-02,Oregon
Melanie Williams,Homicide,2023-01-26,South Dakota
Kevin White,Drug Possession,2020-12-02,West Virginia
Jessica Wallace,Forgery,2023-05-16,Massachusetts
Haley Mcintyre,Fraud,2022-08-12,Massachusetts
Holly Harrison,Kidnapping,2023-01-04,Missouri
Valerie Weber,Drug Possession,2019-04-23,Washington
David Cline,Robbery,2019-04-14,Georgia
Alexandra Mckenzie,Embezzlement,2022-05-25,Iowa
Samantha Wall,Drug Possession,2019-02-01,Indiana
Erin Chen,Drug Possession,2021-09-18,Georgia
Debbie Garcia,Identity Theft,2021-08-30,Idaho
Robert Price,Grand Theft Auto,2019-03-23,Minnesota
Eric Bell,Drug Possession,2020-11-14,Minnesota
Michael Frye,Grand Theft Auto,2018-09-25,Kansas
Nancy Baker,Kidnapping,2021-01-22,Mississippi
Marc Mcneil,Grand Theft Auto,2023-04-15,Arizona
George Newman Jr.,Grand Theft Auto,2021-03-01,Massachusetts
Tiffany Jimenez,Arson,2019-06-07,Wisconsin
Gina Mendoza,Fraud,2018-08-04,Florida
Debra Hawkins,Arson,2020-04-01,Maryland
Alejandro Bryant,Arson,2022-03-04,Hawaii
Sandra Cox,Kidnapping,2019-08-30,Virginia
Steven Hunt,Drug Possession,2022-02-10,Minnesota
Erica Hamilton,Identity Theft,2020-01-05,Texas
Karen Walker,Robbery,2021-07-18,Virginia
Scott Smith,Assault,2021-12-29,Arizona
Tara Avila,Drug Possession,2019-07-03,South Dakota
Barbara Watson,Drug Possession,2021-06-26,Florida
Jackie Jacobs,Drug Possession,2020-06-08,North Dakota
Jessica Mayer,Grand Theft Auto,2020-06-15,Minnesota
Kayla Herrera,Assault,2019-03-28,Pennsylvania
Russell Fuentes,Arson,2022-02-21,North Carolina
Amanda Jones,Homicide,2022-02-23,Wyoming
Kyle Douglas,Fraud,2019-08-31,Montana
Jenny Fox,Kidnapping,2022-03-27,Delaware
Elizabeth Leonard,Arson,2022-04-14,Wisconsin
Theresa Baxter,Kidnapping,2021-07-19,Florida
Darlene Moore,Robbery,2022-05-05,North Dakota
Gloria Graham,Robbery,2022-12-03,Texas
Manuel Olsen,Arson,2018-08-21,Maryland
Steven Martin,Identity Theft,2020-11-05,California
Richard Henson,Homicide,2021-04-10,Hawaii
Jennifer Shepherd,Arson,2022-08-01,Colorado
William Thomas,Robbery,2021-12-30,Ohio
Gary Snyder,Drug Possession,2020-10-28,Tennessee
Larry Rice MD,Robbery,2019-04-26,Virginia
Ronald Booker,Identity Theft,2022-09-27,Delaware
Drew Martin,Vandalism,2020-06-30,New Hampshire
Julia Gonzales,Drug Possession,2020-05-29,Wisconsin
Cheyenne Mathis,Grand Theft Auto,2023-06-03,Hawaii
Connie Miller,Drug Possession,2021-09-28,Missouri
Rebecca Beasley,Assault,2020-05-20,Tennessee
Brian Jones,Drug Possession,2018-10-11,Montana
Mary Porter,Assault,2020-05-31,Arkansas
Mark Miller,Drug Possession,2021-07-06,Kentucky
Bonnie Harris,Forgery,2021-10-06,Vermont
Michelle Smith,Drug Possession,2020-11-24,Wisconsin
Crystal Bennett,Homicide,2022-09-14,Arkansas
Richard Goodwin,Embezzlement,2021-09-29,Ohio
Julie Garcia,Drug Possession,2018-11-24,Oklahoma
Brenda Campos,Drug Possession,2022-11-13,North Dakota
Connie Shaw,Arson,2023-06-07,New Mexico
Madeline Morgan,Drug Possession,2019-12-22,Mississippi
Jason Graves,Arson,2018-12-14,Washington
Theresa Burke,Assault,2020-05-28,Alaska
Nancy Garcia,Kidnapping,2023-07-17,Arizona
Erica Mills,Homicide,2023-06-03,New Jersey
Sydney Oliver,Kidnapping,2019-05-28,New Jersey
Deanna Bailey,Assault,2019-02-15,Vermont
Dale Kelley,Homicide,2020-01-30,Nevada
Miranda Gibbs,Arson,2021-02-10,South Carolina
Heather Oneal,Assault,2020-05-16,Wisconsin
Lisa Strickland,Burglary,2019-07-10,Oklahoma
Katie Miller,Homicide,2018-10-26,New Jersey
Erica Lynch,Identity Theft,2022-06-04,Maryland
Tommy Rodriguez,Robbery,2022-10-23,Oklahoma
Jason Owens,Embezzlement,2020-08-04,California
Maria Velasquez,Embezzlement,2022-03-21,Missouri
Walter Davis,Identity Theft,2022-07-05,Arizona
Scott Ayers,Homicide,2022-10-25,Pennsylvania
Olivia Archer,Identity Theft,2021-04-30,Vermont
Angel Small,Homicide,2022-08-31,California
Angela Cameron,Kidnapping,2020-03-23,Indiana
Miranda Price,Arson,2020-01-05,Maryland
Mr. Darrell Owens,Assault,2019-02-26,Florida
Ruth Phillips,Forgery,2022-09-03,New York
Bobby Taylor,Identity Theft,2018-11-18,Alabama
Sean Conley,Assault,2020-03-15,North Carolina
Dr. Michael Lee,Embezzlement,2022-08-16,South Dakota
Jimmy Johnson,Embezzlement,2019-12-29,Wisconsin
Daniel Harrington,Arson,2022-12-05,Alabama
William Wilson,Vandalism,2021-06-23,New Mexico
Eddie Davis,Homicide,2023-06-15,Iowa
Beth Sherman,Burglary,2023-07-13,Maine
Denise Cruz,Embezzlement,2022-07-27,Arkansas
Denise Smith,Forgery,2019-09-19,Alabama
John Huff,Embezzlement,2023-03-31,Minnesota
Michael Jackson II,Grand Theft Auto,2021-07-08,Hawaii
Jesus Miles,Embezzlement,2019-08-05,Nevada
Nancy Townsend,Kidnapping,2023-06-18,Tennessee
Nancy Cooper,Burglary,2020-02-28,Rhode Island
Heidi Dixon,Assault,2020-08-15,Maine
Sharon Adams,Grand Theft Auto,2023-04-18,Arizona
Kim Wells,Homicide,2020-05-17,Maine
Samuel Larson,Arson,2019-05-31,South Carolina
Bridget Chambers,Vandalism,2020-06-09,Massachusetts
Dennis Gonzalez,Grand Theft Auto,2022-10-03,Tennessee
Marc Barnett,Forgery,2021-01-06,Indiana
Danielle Smith,Forgery,2021-02-05,North Carolina
Todd Nelson,Fraud,2018-09-11,Iowa
Rebecca Schroeder,Arson,2020-06-15,Maryland
Lori Powell,Homicide,2021-03-15,Nebraska
David Davis,Arson,2022-02-16,Indiana
Kelsey Allen,Robbery,2022-01-11,Florida
Daniel Stout,Kidnapping,2019-05-09,Illinois
Michael Crawford,Embezzlement,2019-06-24,North Dakota
Mark Anderson,Arson,2019-05-20,Texas
Kimberly Ryan,Vandalism,2021-04-27,North Carolina
Sara Barker,Assault,2021-01-06,Utah
Cheryl Harding,Homicide,2023-05-30,Alaska
Gina Martin,Grand Theft Auto,2019-02-23,New Hampshire
Karen Snyder,Grand Theft Auto,2018-09-20,Ohio
Maria Hayes,Drug Possession,2020-04-20,New Hampshire
Lisa Taylor,Forgery,2022-02-15,Indiana
Wesley Gibbs,Fraud,2018-08-14,Washington
Marilyn Perry,Drug Possession,2022-05-10,California
Brian Spencer,Assault,2019-08-13,Washington
Rose Lopez,Identity Theft,2023-01-01,Montana
Donald Walls,Identity Theft,2022-10-28,Idaho
Desiree Hoover,Homicide,2023-01-10,Hawaii
Charles Herring,Robbery,2019-08-14,Alabama
April Smith,Vandalism,2022-12-02,Minnesota
Danielle Glenn,Homicide,2020-06-26,Kentucky
Marvin Davidson,Fraud,2018-12-24,Iowa
Aaron Wright,Burglary,2021-04-20,Connecticut
David King,Homicide,2019-10-04,Iowa
William Wright,Burglary,2019-10-30,South Dakota
Shane Arnold,Vandalism,2021-06-21,Minnesota
Katherine Hampton,Grand Theft Auto,2023-04-19,Washington
Amber Rollins,Arson,2022-10-22,Georgia
Brittany Delacruz,Embezzlement,2018-07-30,Ohio
Kelly Nelson,Robbery,2020-02-09,New Mexico
Sandra Anderson,Identity Theft,2019-06-04,Nevada
Jamie Lozano,Vandalism,2021-02-12,Connecticut
Brian Fry,Assault,2021-11-08,Georgia
John Walter,Drug Possession,2022-12-23,South Carolina
Tyler Mendez,Homicide,2023-03-11,Utah
Jessica Wyatt,Assault,2018-09-20,Georgia
Ryan Lang,Identity Theft,2022-04-16,New Mexico
Lisa Howard,Burglary,2020-04-11,Missouri
Brendan Davidson,Grand Theft Auto,2019-06-02,Missouri
Jerry Bishop,Identity Theft,2023-01-27,Utah
Stephanie Garcia,Homicide,2020-07-13,Michigan
Luis Foster,Arson,2022-10-24,New York
Dennis Jordan,Assault,2020-03-02,Louisiana
Anna Kelly,Drug Possession,2019-12-27,Missouri
Anthony Lopez,Homicide,2022-07-17,Colorado
Angel Butler,Forgery,2021-08-26,Mississippi
Jennifer Solomon,Grand Theft Auto,2020-03-14,Utah
Ashley Andrews,Robbery,2019-07-14,California
Tracy Hunt,Fraud,2022-11-03,Georgia
Margaret Montgomery,Robbery,2022-08-07,Minnesota
Emma Hernandez,Forgery,2021-05-29,Indiana
Shaun Davis,Fraud,2018-11-28,Wyoming
David Navarro,Burglary,2019-04-28,Oklahoma
Darryl Perez,Identity Theft,2020-01-04,California
Tabitha Torres,Assault,2019-11-11,Tennessee
Amanda Alexander,Arson,2021-08-13,Delaware
Andrew Evans,Burglary,2021-11-01,Ohio
Michael Macdonald,Embezzlement,2019-08-25,Illinois
Ana Fuller,Embezzlement,2018-09-04,Texas
Eric Johnson,Vandalism,2019-08-25,Wyoming
Julie Ramirez,Homicide,2022-08-27,Washington
Stephanie Lewis,Robbery,2019-01-01,New Hampshire
Jesse Rogers,Grand Theft Auto,2023-01-25,Michigan
Dennis Mitchell,Identity Theft,2022-03-07,Colorado
Jennifer Butler,Burglary,2021-12-08,Idaho
Tyler Wilkins,Fraud,2019-02-15,Massachusetts
Joshua Rivera,Homicide,2022-10-03,Oklahoma
Kendra Hogan,Embezzlement,2020-10-12,Texas
Jennifer Kirby,Identity Theft,2023-01-24,Maine
Ricky Parker,Embezzlement,2019-03-21,Rhode Island
Alexis Baird,Forgery,2018-12-16,Arkansas
Diana Abbott,Assault,2021-02-06,Iowa
Joshua Mercado,Assault,2019-11-16,Iowa
Chelsea Williams,Arson,2021-02-03,Tennessee
Kara Olson,Identity Theft,2020-05-23,Tennessee
Melinda Marshall,Kidnapping,2022-12-01,Oklahoma
Michael Obrien,Robbery,2020-02-03,Virginia
Austin Snyder,Homicide,2022-04-29,Alabama
Lisa Nelson,Drug Possession,2021-11-03,Connecticut
Debra Taylor,Vandalism,2021-11-16,Kentucky
Francis Andersen,Kidnapping,2021-09-06,California
Charles Williams,Embezzlement,2023-03-08,West Virginia
Amy Wilson,Drug Possession,2019-06-13,Rhode Island
Dr. Colleen Williams,Assault,2019-01-20,Arkansas
Ryan Espinoza,Robbery,2022-03-21,Pennsylvania
David Taylor,Embezzlement,2023-02-05,Oklahoma
Tony Garza,Kidnapping,2021-11-19,New Jersey
Linda Prince,Arson,2019-10-31,Mississippi
Craig Reyes,Kidnapping,2022-11-19,Kansas
Kaitlyn Williams,Identity Theft,2019-10-26,Arkansas
Scott Mendoza,Arson,2022-07-06,Oklahoma
James Ford,Arson,2020-11-09,Alaska
Colleen Jones,Vandalism,2018-11-08,Washington
Thomas Williams,Robbery,2023-02-20,North Dakota
Ashley Davidson,Vandalism,2022-12-15,New Hampshire
Raymond Martinez,Fraud,2021-10-13,Iowa
Michael Guerrero,Assault,2019-02-20,Mississippi
Karen Wade,Forgery,2020-07-17,Alaska
Natasha Davis,Forgery,2020-07-11,Ohio
Jessica Powell,Forgery,2018-12-29,South Dakota
Barbara Velez,Homicide,2022-12-05,Oregon
Edward Atkinson,Homicide,2020-11-15,Kansas
Kenneth Lewis,Assault,2020-04-06,Kansas
Tina Decker,Arson,2020-04-13,Idaho
Anita Byrd,Homicide,2020-03-06,Mississippi
Karen Nguyen,Kidnapping,2019-04-23,West Virginia
Ronald Fisher,Homicide,2019-02-25,Minnesota
Amanda Neal,Grand Theft Auto,2020-04-23,Idaho
Daniel Glenn,Drug Possession,2019-04-08,Ohio
Jessica Miller,Drug Possession,2019-07-31,Alabama
Laura Arroyo,Embezzlement,2022-03-05,New Jersey
Stephen Ward,Assault,2021-01-25,Maryland
Bruce Stewart,Kidnapping,2019-01-05,Utah
Jennifer Jones,Drug Possession,2020-01-03,New Mexico
Jack Scott,Burglary,2022-11-19,Colorado
Linda Guerrero,Vandalism,2018-09-17,Arizona
Donald Green,Arson,2020-05-10,Missouri
Robert Rocha,Assault,2021-11-04,New Hampshire
Gregory Singh,Identity Theft,2019-07-07,Arizona
Larry Smith,Homicide,2023-01-05,Oklahoma
Chad Goodman,Arson,2021-12-12,California
Sheila Mason,Assault,2023-01-23,Arizona
Jordan Kelley,Robbery,2023-07-16,Hawaii
Samantha Smith,Drug Possession,2021-06-24,Washington
Michele Martinez,Robbery,2021-04-11,Delaware
Lauren Miller,Arson,2022-07-11,Maine
Jose Owens,Robbery,2022-04-16,Hawaii
Mrs. Nicole Smith,Fraud,2021-07-23,Michigan
Michael Griffin,Kidnapping,2019-10-18,Vermont
Traci Duncan,Vandalism,2022-08-28,Idaho
Donald Rodriguez,Robbery,2020-03-08,Kansas
Gabriel Mclean,Fraud,2019-07-08,Missouri
Jeffery Pearson,Burglary,2019-03-30,Arkansas
Susan Burton,Homicide,2019-01-21,Vermont
Justin Lawrence,Embezzlement,2019-04-30,Utah
Brian Palmer,Grand Theft Auto,2019-09-02,Minnesota
Sandra Blankenship,Robbery,2021-01-19,Hawaii
Amy Mitchell,Robbery,2019-04-05,South Carolina
Angie Rodriguez,Burglary,2020-11-11,Wisconsin
Kimberly Palmer,Fraud,2021-10-24,New Jersey
Holly West,Kidnapping,2020-05-15,New Jersey
Kelly Garcia,Arson,2018-11-25,West Virginia
Geoffrey Wallace,Burglary,2023-07-14,Vermont
Shawna Patterson,Assault,2019-10-26,Louisiana
Anthony Ramirez,Assault,2020-06-10,Massachusetts
Scott Browning,Embezzlement,2019-12-04,Colorado
Mariah Lee,Kidnapping,2022-03-19,Delaware
Roger Miller,Robbery,2018-11-08,Ohio
Joshua Brown,Arson,2021-03-27,New Hampshire
Micheal Martinez DDS,Grand Theft Auto,2021-02-26,Louisiana
Eric Mckinney,Identity Theft,2018-10-04,Texas
Jason Powell,Drug Possession,2022-12-16,Massachusetts
James Mills,Fraud,2019-11-25,Hawaii
Larry Bell,Drug Possession,2019-06-28,Wisconsin
Robert Spencer,Kidnapping,2021-05-09,Illinois
Joseph Thompson,Fraud,2023-02-22,Florida
Nancy Robinson,Assault,2020-06-26,Missouri
Paul Smith,Forgery,2018-10-21,New Mexico
Kimberly Smith,Assault,2022-02-06,Wyoming
Crystal Walker,Fraud,2019-08-23,Arizona
Samuel Mcclure,Identity Theft,2021-07-15,Arizona
April Hill,Forgery,2019-09-02,Nebraska
Lynn Hernandez,Homicide,2018-11-29,Pennsylvania
Jenna Hensley,Identity Theft,2019-09-25,Rhode Island
Regina Burns,Drug Possession,2021-05-21,Alaska
Erik Gonzalez,Robbery,2019-12-26,Mississippi
John Sweeney,Drug Possession,2021-09-23,Tennessee
Mark Chaney,Burglary,2021-10-20,Texas
Melissa Mcfarland,Embezzlement,2020-09-20,Nebraska
Brian Cunningham,Drug Possession,2022-04-28,Minnesota
Michael Tyler,Forgery,2022-09-18,Iowa
Susan Williams,Fraud,2023-03-07,Oregon
Ashley Levy,Kidnapping,2020-06-11,New York
Jonathan Russell,Kidnapping,2022-02-10,Alaska
Trevor Mitchell Jr.,Assault,2023-03-13,West Virginia
Brian Simpson,Forgery,2018-09-27,Kentucky
Lisa Duncan,Burglary,2019-11-27,Maryland
Mackenzie Wilson,Assault,2022-11-17,Hawaii
Victor Boyer,Burglary,2023-07-11,Ohio
Jason Moreno,Embezzlement,2021-10-05,Kentucky
Virginia Black,Arson,2022-08-05,Idaho
Rodney Thompson,Grand Theft Auto,2022-02-25,Indiana
James Petersen,Burglary,2021-01-10,Alabama
Carly Hernandez,Assault,2018-10-28,Washington
Barbara Reyes,Grand Theft Auto,2020-09-27,Connecticut
Robert Lopez,Kidnapping,2018-11-26,California
Elizabeth Williams,Robbery,2023-01-07,Ohio
Ian Jensen,Arson,2019-11-22,Michigan
David Parrish,Burglary,2019-05-24,Idaho
Christian Davis,Arson,2020-12-31,Wyoming
Samantha Scott,Drug Possession,2019-04-25,Delaware
Larry Graves,Burglary,2019-02-18,Wyoming
Lauren Solis,Arson,2020-11-10,Mississippi
Kara Santiago,Grand Theft Auto,2022-02-03,Alaska
Jill Walker,Embezzlement,2021-10-14,Maryland
Dale Hernandez,Identity Theft,2021-03-06,Nevada
Gilbert Brown,Drug Possession,2020-06-11,New York
Curtis Christensen,Grand Theft Auto,2021-03-21,Indiana
Ronnie Cox,Embezzlement,2020-03-07,California
Paul Young,Drug Possession,2023-04-23,Colorado
Brandon Boyle,Forgery,2023-02-22,Rhode Island
Anna Lane,Grand Theft Auto,2020-11-06,Virginia
Joshua Nolan,Robbery,2020-07-12,Virginia
Gregory Arnold,Embezzlement,2022-04-06,Montana
Joel Shepherd,Robbery,2020-11-30,West Virginia
Dominic Moore,Homicide,2019-12-15,Oklahoma
Michael Kim,Forgery,2019-04-15,Utah
Mark Collins,Arson,2019-08-15,Connecticut
Luis Richardson,Forgery,2021-05-08,Washington
Brianna Wood,Identity Theft,2023-06-14,Tennessee
Ashley Esparza,Vandalism,2021-11-22,Mississippi
Michael Rodriguez,Vandalism,2019-10-10,California
Drew Wagner,Vandalism,2023-01-30,Texas
Brian Carson,Homicide,2018-10-20,New York
Julie Miller,Burglary,2018-11-05,Louisiana
Dustin Williams,Fraud,2022-09-29,Delaware
Jordan Watson,Embezzlement,2019-06-14,Nevada
Katherine Davis,Robbery,2020-07-22,Rhode Island
Cheryl Kelly,Homicide,2022-01-06,Maryland
John Gomez,Forgery,2020-12-01,Montana
Bailey Sharp,Robbery,2019-01-13,Virginia
Marie Jones,Fraud,2021-06-19,Florida
Jacob Walker,Vandalism,2022-10-28,Washington
Dorothy Jones,Identity Theft,2021-03-21,Maine
Timothy Rosario,Burglary,2021-12-05,New Mexico
Angela Murray,Drug Possession,2022-03-31,Utah
Miss Susan Hurley PhD,Identity Theft,2019-11-16,West Virginia
Daniel Barry,Robbery,2018-07-30,Michigan
